,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
哀,0,0,0,0,0.6,0,0,0
愛,0.23412868,0.4501143,0.0017013494,0.005211674,0.009512368,0.0009761905,0.0067081214,0
相容れない,0,0,0,0,0,0.8,0.20000002,0
哀感,0,0,0,0,0.52500004,0,0.075,0
愛敬,0.16000001,0.46,0,0,0,0,0,0
愛好,0.28683978,0.44979894,0.0056934846,0.014771511,0.022227397,0.006029366,0.014527915,0.0008841733
哀愁,0,0,0,0,0.45000002,0,0.15,0
愛執,0.19825743,0.37001276,0.0015243135,0.032707233,0.08318846,0.05746032,0.0059586796,0
哀傷,0.0075900555,0.02712241,0.09721952,0.03703691,0.3836605,0.012916582,0.096078694,0.0042782687
愛情,0.2348129,0.44839412,0.0017600165,0.005391387,0.0098403795,0.0010098523,0.006939436,0
愛する,0.29715136,0.40993163,0.0063646017,0.010126936,0.028515466,0.0040040268,0.023013014,0
哀惜,0.009071342,0.040365383,0.07340156,0.026973872,0.41782352,0.020335285,0.08108922,0.0031789937
哀切,0,0.060000002,0,0.060000002,0.44000003,0,0.040000003,0
愛想を尽かす,0,0,0,0.2,0.2,0.32000002,0,0
愛着,0.2229636,0.4331565,0.0008949894,0.011918019,0.023543311,0.014484127,0.0036516406,0
哀悼,0.0043537416,0.081785716,0.013486396,0.007857143,0.4367687,0.12326531,0.06428571,0
愛慕,0.23503892,0.48528883,0.006467551,0.021290207,0.03683332,0.016887853,0.01578337,0.0010050393
愛欲,0.39725918,0.33944255,0.0014108538,0.034335226,0.0031741478,0.010955456,0.0067206393,0.00017934003
愛らしい,0.3412967,0.43456012,0.00015360983,0.0077346046,0,0,0,0
青息吐息,0,0,0.14777778,0.081335574,0.2127385,0,0.1891358,0
仰ぐ,0.14457358,0.67951787,0.00935605,0.030602967,0.030573098,0.010260687,0.007100938,0.0012421
青筋を立てる,0.225,0,0,0,0,0,0.75,0
赤恥,0,0,0,0.3822968,0.011872428,0.01107253,0.20847222,0
赤らむ,0.1734359,0.049358975,0,0.30405128,0,0,0.19151282,0
赤らめる,0.1734359,0.049358975,0,0.30405128,0,0,0.19151282,0
